Caso,Atividade,Recurso,Início,Fim
211,Solicitar Ticket,Cancela 3,2023-07-01 12:10:37,2023-07-01 12:10:44
211,Reservar Vaga,Totem 1,2023-07-01 12:11:10,2023-07-01 12:15:04
211,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 12:15:49,2023-07-01 12:15:50
211,Solicitar Ticket,Cancela 4,2023-07-01 12:16:21,2023-07-01 12:16:28
211,Adicionar Créditos,Totem 1,2023-07-01 12:17:01,2023-07-01 12:17:25
211,Cancelar Reserva,Totem 1,2023-07-01 12:18:23,2023-07-01 12:19:09
211,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 12:19:29,2023-07-01 12:23:34
211,Cancelar Reserva,Totem 4,2023-07-01 12:24:22,2023-07-01 12:25:22
211,Scan Sem Parar,Cancela 2,2023-07-01 12:25:35,2023-07-01 12:25:39
211,Solicitar Ticket,Cancela 2,2023-07-01 15:40:39,2023-07-01 15:40:47
211,Saída do Estacionamento,Caixa 3,2023-07-01 15:41:43,2023-07-01 15:41:43
212,Entrada no Estacionamento,Cancela 5,2023-07-01 08:47:00,2023-07-01 08:47:00
212,Solicitar Ticket,Cancela 4,2023-07-01 08:47:25,2023-07-01 08:47:38
212,Impressão do Ticket,Cancela 5,2023-07-01 08:48:38,2023-07-01 08:48:47
212,Reservar Vaga,Totem 4,2023-07-01 10:03:47,2023-07-01 10:06:04
212,Solicitar Ticket,Cancela 3,2023-07-01 10:06:56,2023-07-01 10:07:16
212,Validar Ticket,Caixa 3,2023-07-01 10:08:15,2023-07-01 10:08:19
212,Cancelar Reserva,Totem 4,2023-07-01 10:09:06,2023-07-01 10:09:37
212,Validar Ticket,Caixa 3,2023-07-01 10:10:19,2023-07-01 10:10:26
212,Solicitar Ticket,Cancela 5,2023-07-01 10:10:59,2023-07-01 10:11:10
212,Saída do Estacionamento,Caixa 2,2023-07-01 10:12:09,2023-07-01 10:12:09
213,Entrada no Estacionamento,Cancela 3,2023-07-01 11:13:00,2023-07-01 11:13:00
213,Scan Sem Parar,Cancela 4,2023-07-01 11:13:20,2023-07-01 11:13:22
213,Saída do Estacionamento,Caixa 3,2023-07-01 12:04:22,2023-07-01 12:04:22
214,Entrada no Estacionamento,Cancela 4,2023-07-01 12:03:00,2023-07-01 12:03:00
214,Solicitar Ticket,Cancela 1,2023-07-01 12:03:15,2023-07-01 12:03:21
214,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 12:03:27,2023-07-01 12:05:58
214,Reservar Vaga,Totem 4,2023-07-01 12:06:54,2023-07-01 12:09:25
214,Solicitar Ticket,Cancela 4,2023-07-01 12:09:44,2023-07-01 12:09:57
214,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 12:09:59,2023-07-01 12:10:03
214,Scan Sem Parar,Cancela 3,2023-07-01 12:10:33,2023-07-01 12:10:34
214,Impressão do Ticket,Cancela 2,2023-07-01 12:53:34,2023-07-01 12:53:40
214,Validar Ticket,Caixa 1,2023-07-01 12:56:40,2023-07-01 12:56:46
214,Leitura do Cartão Pré-pago,Cancela 4,2023-07-01 12:57:40,2023-07-01 12:57:41
214,Solicitar Ticket,Cancela 5,2023-07-01 12:58:27,2023-07-01 12:58:45
214,Pagar Estacionamento,Caixa 4,2023-07-01 12:59:37,2023-07-01 13:01:00
214,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 13:01:42,2023-07-01 13:06:36
214,Solicitar Ticket,Cancela 4,2023-07-01 13:06:58,2023-07-01 13:07:13
214,Scan Sem Parar,Cancela 1,2023-07-01 13:07:47,2023-07-01 13:07:49
214,Reservar Vaga,Totem 4,2023-07-01 13:56:49,2023-07-01 13:58:59
214,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 13:59:52,2023-07-01 14:05:33
214,Cancelar Reserva,Totem 2,2023-07-01 14:06:22,2023-07-01 14:07:19
214,Saída do Estacionamento,Caixa 1,2023-07-01 14:07:46,2023-07-01 14:07:46
215,Entrada no Estacionamento,Cancela 2,2023-07-01 12:04:00,2023-07-01 12:04:00
215,Solicitar Ticket,Cancela 3,2023-07-01 12:04:31,2023-07-01 12:04:42
215,Impressão do Ticket,Cancela 4,2023-07-01 12:05:40,2023-07-01 12:05:46
215,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 13:53:46,2023-07-01 13:53:49
215,Adicionar Créditos,Totem 4,2023-07-01 13:53:58,2023-07-01 13:54:52
215,Solicitar Ticket,Cancela 3,2023-07-01 13:55:08,2023-07-01 13:55:20
215,Saída do Estacionamento,Caixa 3,2023-07-01 13:56:06,2023-07-01 13:56:06
216,Entrada no Estacionamento,Cancela 4,2023-07-01 09:19:00,2023-07-01 09:19:00
216,Adicionar Créditos,Totem 1,2023-07-01 09:19:42,2023-07-01 09:20:40
216,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 09:20:51,2023-07-01 09:20:52
216,Solicitar Ticket,Cancela 5,2023-07-01 09:21:04,2023-07-01 09:21:12
216,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 09:21:14,2023-07-01 09:25:36
216,Solicitar Ticket,Cancela 5,2023-07-01 09:26:07,2023-07-01 09:26:25
216,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 09:27:12,2023-07-01 09:29:58
216,Saída do Estacionamento,Caixa 3,2023-07-01 09:30:49,2023-07-01 09:30:49
217,Entrada no Estacionamento,Cancela 5,2023-07-01 09:07:00,2023-07-01 09:07:00
217,Solicitar Ticket,Cancela 4,2023-07-01 09:07:39,2023-07-01 09:07:46
217,Impressão do Ticket,Cancela 3,2023-07-01 09:07:52,2023-07-01 09:08:06
217,Solicitar Ticket,Cancela 2,2023-07-01 10:10:06,2023-07-01 10:10:21
217,Validar Ticket,Caixa 1,2023-07-01 10:11:18,2023-07-01 10:11:23
217,Impressão do Ticket,Cancela 4,2023-07-01 10:11:27,2023-07-01 10:11:37
217,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 13:17:37,2023-07-01 13:17:39
217,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 13:18:20,2023-07-01 13:23:50
217,Validar Ticket,Caixa 1,2023-07-01 13:23:52,2023-07-01 13:24:02
217,Scan Sem Parar,Cancela 5,2023-07-01 13:24:13,2023-07-01 13:24:15
217,Solicitar Ticket,Cancela 4,2023-07-01 15:40:15,2023-07-01 15:40:34
217,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 15:40:41,2023-07-01 15:45:48
217,Saída do Estacionamento,Caixa 4,2023-07-01 15:46:22,2023-07-01 15:46:22
218,Entrada no Estacionamento,Cancela 5,2023-07-01 07:56:00,2023-07-01 07:56:00
218,Solicitar Ticket,Cancela 1,2023-07-01 07:56:10,2023-07-01 07:56:20
218,Impressão do Ticket,Cancela 5,2023-07-01 07:56:47,2023-07-01 07:57:07
218,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 10:47:07,2023-07-01 10:47:08
218,Validar Ticket,Caixa 2,2023-07-01 10:47:44,2023-07-01 10:47:53
218,Saída do Estacionamento,Caixa 1,2023-07-01 10:48:39,2023-07-01 10:48:39
219,Entrada no Estacionamento,Cancela 5,2023-07-01 10:32:00,2023-07-01 10:32:00
219,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 10:32:32,2023-07-01 10:32:35
219,Solicitar Ticket,Cancela 2,2023-07-01 10:32:42,2023-07-01 10:32:58
219,Saída do Estacionamento,Caixa 1,2023-07-01 10:33:49,2023-07-01 10:33:49
220,Entrada no Estacionamento,Cancela 4,2023-07-01 09:12:00,2023-07-01 09:12:00
220,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 09:12:31,2023-07-01 09:18:19
220,Solicitar Ticket,Cancela 4,2023-07-01 09:18:49,2023-07-01 09:19:03
220,Impressão do Ticket,Cancela 2,2023-07-01 09:19:40,2023-07-01 09:20:00
220,Validar Ticket,Caixa 4,2023-07-01 09:55:00,2023-07-01 09:55:12
220,Pagar Estacionamento,Caixa 3,2023-07-01 09:56:11,2023-07-01 09:57:48
220,Impressão do Ticket,Cancela 1,2023-07-01 09:58:38,2023-07-01 09:58:49
220,Scan Sem Parar,Cancela 5,2023-07-01 10:27:49,2023-07-01 10:27:52
220,Pagar Estacionamento,Caixa 2,2023-07-01 13:04:52,2023-07-01 13:06:33
220,Impressão do Ticket,Cancela 2,2023-07-01 13:07:15,2023-07-01 13:07:23
220,Adicionar Créditos,Totem 2,2023-07-01 16:16:23,2023-07-01 16:17:23
220,Pagar Estacionamento,Caixa 1,2023-07-01 16:18:04,2023-07-01 16:19:39
220,Validar Ticket,Caixa 1,2023-07-01 16:20:13,2023-07-01 16:20:25
220,Impressão do Ticket,Cancela 2,2023-07-01 16:20:56,2023-07-01 16:21:15
220,Validar Ticket,Caixa 4,2023-07-01 17:24:15,2023-07-01 17:24:22
220,Saída do Estacionamento,Caixa 4,2023-07-01 17:24:49,2023-07-01 17:24:49
221,Entrada no Estacionamento,Cancela 2,2023-07-01 08:38:00,2023-07-01 08:38:00
221,Scan Sem Parar,Cancela 1,2023-07-01 08:38:34,2023-07-01 08:38:36
221,Solicitar Ticket,Cancela 1,2023-07-01 08:48:36,2023-07-01 08:48:50
221,Impressão do Ticket,Cancela 1,2023-07-01 08:49:24,2023-07-01 08:49:44
221,Solicitar Ticket,Cancela 3,2023-07-01 11:36:44,2023-07-01 11:36:53
221,Adicionar Créditos,Totem 2,2023-07-01 11:37:23,2023-07-01 11:38:11
221,Validar Ticket,Caixa 1,2023-07-01 11:38:19,2023-07-01 11:38:23
221,Saída do Estacionamento,Caixa 4,2023-07-01 11:38:30,2023-07-01 11:38:30
222,Entrada no Estacionamento,Cancela 1,2023-07-01 07:07:00,2023-07-01 07:07:00
222,Solicitar Ticket,Cancela 1,2023-07-01 07:07:22,2023-07-01 07:07:40
222,Impressão do Ticket,Cancela 5,2023-07-01 07:07:51,2023-07-01 07:08:08
222,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 07:16:08,2023-07-01 07:22:07
222,Adicionar Créditos,Totem 3,2023-07-01 07:23:05,2023-07-01 07:24:25
222,Impressão do Ticket,Cancela 3,2023-07-01 07:25:06,2023-07-01 07:25:17
222,Solicitar Ticket,Cancela 3,2023-07-01 09:54:17,2023-07-01 09:54:30
222,Impressão do Ticket,Cancela 1,2023-07-01 09:55:23,2023-07-01 09:55:30
222,Validar Ticket,Caixa 4,2023-07-01 11:45:30,2023-07-01 11:45:40
222,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 11:46:32,2023-07-01 11:46:35
222,Pagar Estacionamento,Caixa 1,2023-07-01 11:47:33,2023-07-01 11:49:18
222,Validar Ticket,Caixa 3,2023-07-01 11:49:57,2023-07-01 11:50:09
222,Adicionar Créditos,Totem 1,2023-07-01 11:50:35,2023-07-01 11:51:18
222,Solicitar Ticket,Cancela 2,2023-07-01 11:51:27,2023-07-01 11:51:35
222,Pagar Estacionamento,Caixa 2,2023-07-01 11:52:14,2023-07-01 11:54:45
222,Saída do Estacionamento,Caixa 4,2023-07-01 11:55:06,2023-07-01 11:55:06
223,Entrada no Estacionamento,Cancela 5,2023-07-01 07:56:00,2023-07-01 07:56:00
223,Solicitar Ticket,Cancela 5,2023-07-01 07:56:28,2023-07-01 07:56:42
223,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 07:57:42,2023-07-01 07:57:46
223,Adicionar Créditos,Totem 3,2023-07-01 07:58:27,2023-07-01 07:59:46
223,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 07:59:58,2023-07-01 08:01:57
223,Impressão do Ticket,Cancela 3,2023-07-01 08:02:33,2023-07-01 08:02:41
223,Saída do Estacionamento,Caixa 4,2023-07-01 09:21:41,2023-07-01 09:21:41
224,Entrada no Estacionamento,Cancela 4,2023-07-01 07:10:00,2023-07-01 07:10:00
224,Reservar Vaga,Totem 4,2023-07-01 07:10:08,2023-07-01 07:11:49
224,Adicionar Créditos,Totem 3,2023-07-01 07:12:40,2023-07-01 07:13:43
224,Solicitar Ticket,Cancela 3,2023-07-01 07:13:53,2023-07-01 07:14:11
224,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 07:14:13,2023-07-01 07:17:13
224,Solicitar Ticket,Cancela 2,2023-07-01 07:17:53,2023-07-01 07:18:02
224,Impressão do Ticket,Cancela 4,2023-07-01 07:18:19,2023-07-01 07:18:38
224,Solicitar Ticket,Cancela 1,2023-07-01 08:12:38,2023-07-01 08:12:55
224,Impressão do Ticket,Cancela 3,2023-07-01 08:13:09,2023-07-01 08:13:27
224,Validar Ticket,Caixa 3,2023-07-01 10:28:27,2023-07-01 10:28:38
224,Impressão do Ticket,Cancela 2,2023-07-01 10:29:30,2023-07-01 10:29:46
224,Reservar Vaga,Totem 3,2023-07-01 13:21:46,2023-07-01 13:23:38
224,Pagar Estacionamento,Caixa 2,2023-07-01 13:24:03,2023-07-01 13:26:33
224,Cancelar Reserva,Totem 2,2023-07-01 13:27:18,2023-07-01 13:28:22
224,Validar Ticket,Caixa 1,2023-07-01 13:28:31,2023-07-01 13:28:40
224,Pagar Estacionamento,Caixa 3,2023-07-01 13:28:42,2023-07-01 13:29:46
224,Saída do Estacionamento,Caixa 4,2023-07-01 13:30:35,2023-07-01 13:30:35
225,Entrada no Estacionamento,Cancela 5,2023-07-01 11:50:00,2023-07-01 11:50:00
225,Solicitar Ticket,Cancela 3,2023-07-01 11:50:40,2023-07-01 11:50:46
225,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 11:51:20,2023-07-01 11:55:00
225,Impressão do Ticket,Cancela 3,2023-07-01 11:55:43,2023-07-01 11:56:01
225,Solicitar Ticket,Cancela 5,2023-07-01 15:08:01,2023-07-01 15:08:12
225,Impressão do Ticket,Cancela 5,2023-07-01 15:09:07,2023-07-01 15:09:15
225,Adicionar Créditos,Totem 4,2023-07-01 16:39:15,2023-07-01 16:40:05
225,Solicitar Ticket,Cancela 4,2023-07-01 16:41:01,2023-07-01 16:41:09
225,Validar Ticket,Caixa 2,2023-07-01 16:41:36,2023-07-01 16:41:48
225,Saída do Estacionamento,Caixa 3,2023-07-01 16:42:43,2023-07-01 16:42:43
226,Entrada no Estacionamento,Cancela 4,2023-07-01 08:40:00,2023-07-01 08:40:00
226,Solicitar Ticket,Cancela 3,2023-07-01 08:40:53,2023-07-01 08:41:03
226,Impressão do Ticket,Cancela 3,2023-07-01 08:41:57,2023-07-01 08:42:17
226,Validar Ticket,Caixa 2,2023-07-01 09:03:17,2023-07-01 09:03:25
226,Impressão do Ticket,Cancela 2,2023-07-01 09:04:14,2023-07-01 09:04:32
226,Leitura do Cartão Pré-pago,Cancela 4,2023-07-01 12:32:32,2023-07-01 12:32:34
226,Pagar Estacionamento,Caixa 3,2023-07-01 12:32:47,2023-07-01 12:34:03
226,Solicitar Ticket,Cancela 5,2023-07-01 12:34:09,2023-07-01 12:34:19
226,Pagar Estacionamento,Caixa 2,2023-07-01 12:34:43,2023-07-01 12:36:34
226,Saída do Estacionamento,Caixa 4,2023-07-01 12:36:50,2023-07-01 12:36:50
227,Entrada no Estacionamento,Cancela 2,2023-07-01 09:11:00,2023-07-01 09:11:00
227,Solicitar Ticket,Cancela 4,2023-07-01 09:11:32,2023-07-01 09:11:52
227,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 09:12:06,2023-07-01 09:17:34
227,Impressão do Ticket,Cancela 3,2023-07-01 09:17:56,2023-07-01 09:18:07
227,Validar Ticket,Caixa 4,2023-07-01 10:07:07,2023-07-01 10:07:13
227,Pagar Estacionamento,Caixa 3,2023-07-01 10:07:50,2023-07-01 10:10:24
227,Solicitar Ticket,Cancela 3,2023-07-01 10:10:42,2023-07-01 10:10:53
227,Pagar Estacionamento,Caixa 3,2023-07-01 10:11:10,2023-07-01 10:12:21
227,Impressão do Ticket,Cancela 2,2023-07-01 10:12:25,2023-07-01 10:12:37
227,Validar Ticket,Caixa 4,2023-07-01 12:44:37,2023-07-01 12:44:48
227,Solicitar Ticket,Cancela 1,2023-07-01 12:45:41,2023-07-01 12:46:00
227,Saída do Estacionamento,Caixa 4,2023-07-01 12:46:46,2023-07-01 12:46:46
228,Entrada no Estacionamento,Cancela 3,2023-07-01 10:45:00,2023-07-01 10:45:00
228,Solicitar Ticket,Cancela 2,2023-07-01 10:45:31,2023-07-01 10:45:39
228,Impressão do Ticket,Cancela 3,2023-07-01 10:46:28,2023-07-01 10:46:43
228,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 13:39:43,2023-07-01 13:44:29
228,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 13:44:46,2023-07-01 13:44:49
228,Reservar Vaga,Totem 3,2023-07-01 13:44:58,2023-07-01 13:46:14
228,Impressão do Ticket,Cancela 4,2023-07-01 13:46:50,2023-07-01 13:46:59
228,Cancelar Reserva,Totem 1,2023-07-01 16:46:59,2023-07-01 16:47:48
228,Adicionar Créditos,Totem 1,2023-07-01 16:48:36,2023-07-01 16:49:27
228,Validar Ticket,Caixa 4,2023-07-01 16:50:02,2023-07-01 16:50:09
228,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 16:50:55,2023-07-01 16:50:59
228,Saída do Estacionamento,Caixa 1,2023-07-01 16:51:24,2023-07-01 16:51:24
229,Entrada no Estacionamento,Cancela 1,2023-07-01 11:11:00,2023-07-01 11:11:00
229,Solicitar Ticket,Cancela 4,2023-07-01 11:11:18,2023-07-01 11:11:24
229,Impressão do Ticket,Cancela 2,2023-07-01 11:11:49,2023-07-01 11:12:07
229,Adicionar Créditos,Totem 1,2023-07-01 11:28:07,2023-07-01 11:29:03
229,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 11:29:07,2023-07-01 11:29:11
229,Solicitar Ticket,Cancela 4,2023-07-01 11:29:27,2023-07-01 11:29:35
229,Saída do Estacionamento,Caixa 1,2023-07-01 11:29:36,2023-07-01 11:29:36
230,Entrada no Estacionamento,Cancela 5,2023-07-01 11:22:00,2023-07-01 11:22:00
230,Solicitar Ticket,Cancela 4,2023-07-01 11:22:43,2023-07-01 11:22:59
230,Reservar Vaga,Totem 4,2023-07-01 11:23:01,2023-07-01 11:26:10
230,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 11:26:35,2023-07-01 11:26:39
230,Scan Sem Parar,Cancela 3,2023-07-01 11:26:46,2023-07-01 11:26:48
230,Cancelar Reserva,Totem 3,2023-07-01 12:51:48,2023-07-01 12:52:32
230,Reservar Vaga,Totem 1,2023-07-01 12:53:25,2023-07-01 12:54:53
230,Impressão do Ticket,Cancela 2,2023-07-01 12:55:39,2023-07-01 12:55:46
230,Solicitar Ticket,Cancela 4,2023-07-01 13:06:46,2023-07-01 13:06:57
230,Saída do Estacionamento,Caixa 2,2023-07-01 13:07:10,2023-07-01 13:07:10
231,Entrada no Estacionamento,Cancela 4,2023-07-01 10:41:00,2023-07-01 10:41:00
231,Solicitar Ticket,Cancela 3,2023-07-01 10:41:31,2023-07-01 10:41:37
231,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 10:41:57,2023-07-01 10:46:35
231,Solicitar Ticket,Cancela 5,2023-07-01 10:46:53,2023-07-01 10:47:08
231,Impressão do Ticket,Cancela 4,2023-07-01 10:47:26,2023-07-01 10:47:45
231,Adicionar Créditos,Totem 1,2023-07-01 12:33:45,2023-07-01 12:34:50
231,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 12:35:28,2023-07-01 12:35:32
231,Saída do Estacionamento,Caixa 2,2023-07-01 12:35:41,2023-07-01 12:35:41
232,Entrada no Estacionamento,Cancela 4,2023-07-01 08:03:00,2023-07-01 08:03:00
232,Solicitar Ticket,Cancela 1,2023-07-01 08:03:14,2023-07-01 08:03:32
232,Adicionar Créditos,Totem 2,2023-07-01 08:03:46,2023-07-01 08:04:20
232,Solicitar Ticket,Cancela 5,2023-07-01 08:05:14,2023-07-01 08:05:29
232,Impressão do Ticket,Cancela 3,2023-07-01 08:06:21,2023-07-01 08:06:41
232,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 10:35:41,2023-07-01 10:39:04
232,Adicionar Créditos,Totem 2,2023-07-01 10:40:02,2023-07-01 10:40:28
232,Validar Ticket,Caixa 4,2023-07-01 10:40:50,2023-07-01 10:41:02
232,Pagar Estacionamento,Caixa 4,2023-07-01 10:41:42,2023-07-01 10:43:05
232,Perda de Ticket,Caixa 3,2023-07-01 10:43:16,2023-07-01 10:43:16
232,Adicionar Créditos,Totem 1,2023-07-01 10:43:29,2023-07-01 10:44:04
232,Solicitar Ticket,Cancela 2,2023-07-01 10:44:41,2023-07-01 10:44:52
232,Validar Ticket,Caixa 4,2023-07-01 10:45:37,2023-07-01 10:45:42
232,Solicitar Ticket,Cancela 1,2023-07-01 10:46:07,2023-07-01 10:46:18
232,Saída do Estacionamento,Caixa 1,2023-07-01 10:47:06,2023-07-01 10:47:06
233,Entrada no Estacionamento,Cancela 2,2023-07-01 12:24:00,2023-07-01 12:24:00
233,Solicitar Ticket,Cancela 1,2023-07-01 12:24:45,2023-07-01 12:24:55
233,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 12:25:28,2023-07-01 12:25:29
233,Saída do Estacionamento,Caixa 2,2023-07-01 12:25:46,2023-07-01 12:25:46
234,Entrada no Estacionamento,Cancela 2,2023-07-01 10:55:00,2023-07-01 10:55:00
234,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 10:55:14,2023-07-01 10:58:57
234,Solicitar Ticket,Cancela 5,2023-07-01 10:59:21,2023-07-01 10:59:28
234,Impressão do Ticket,Cancela 2,2023-07-01 10:59:49,2023-07-01 10:59:59
234,Validar Ticket,Caixa 3,2023-07-01 12:24:59,2023-07-01 12:25:04
234,Saída do Estacionamento,Caixa 2,2023-07-01 12:25:26,2023-07-01 12:25:26
235,Entrada no Estacionamento,Cancela 3,2023-07-01 08:34:00,2023-07-01 08:34:00
235,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 08:34:36,2023-07-01 08:34:38
235,Solicitar Ticket,Cancela 5,2023-07-01 08:34:40,2023-07-01 08:34:47
235,Saída do Estacionamento,Caixa 4,2023-07-01 08:35:31,2023-07-01 08:35:31
236,Entrada no Estacionamento,Cancela 1,2023-07-01 12:35:00,2023-07-01 12:35:00
236,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 12:35:59,2023-07-01 12:40:06
236,Solicitar Ticket,Cancela 2,2023-07-01 12:40:47,2023-07-01 12:40:53
236,Cancelar Cartão Pré-pago,Caixa 4,2023-07-01 12:41:44,2023-07-01 12:47:35
236,Scan Sem Parar,Cancela 3,2023-07-01 12:47:49,2023-07-01 12:47:52
236,Solicitar Ticket,Cancela 5,2023-07-01 16:39:52,2023-07-01 16:39:59
236,Impressão do Ticket,Cancela 5,2023-07-01 16:40:21,2023-07-01 16:40:31
236,Saída do Estacionamento,Caixa 4,2023-07-01 17:18:31,2023-07-01 17:18:31
237,Entrada no Estacionamento,Cancela 4,2023-07-01 09:18:00,2023-07-01 09:18:00
237,Solicitar Ticket,Cancela 2,2023-07-01 09:18:09,2023-07-01 09:18:15
237,Reservar Vaga,Totem 2,2023-07-01 09:18:17,2023-07-01 09:22:11
237,Solicitar Ticket,Cancela 4,2023-07-01 09:22:22,2023-07-01 09:22:32
237,Impressão do Ticket,Cancela 5,2023-07-01 09:23:26,2023-07-01 09:23:34
237,Reservar Vaga,Totem 3,2023-07-01 12:35:34,2023-07-01 12:37:12
237,Impressão do Ticket,Cancela 2,2023-07-01 12:37:25,2023-07-01 12:37:45
237,Scan Sem Parar,Cancela 5,2023-07-01 14:49:45,2023-07-01 14:49:46
237,Cancelar Reserva,Totem 2,2023-07-01 18:38:46,2023-07-01 18:39:51
237,Impressão do Ticket,Cancela 2,2023-07-01 18:40:29,2023-07-01 18:40:36
237,Reservar Vaga,Totem 4,2023-07-01 20:45:36,2023-07-01 20:47:34
237,Solicitar Ticket,Cancela 2,2023-07-01 20:48:17,2023-07-01 20:48:33
237,Impressão do Ticket,Cancela 5,2023-07-01 20:48:34,2023-07-01 20:48:51
237,Saída do Estacionamento,Caixa 3,2023-07-01 23:59:51,2023-07-01 23:59:51
238,Entrada no Estacionamento,Cancela 3,2023-07-01 08:53:00,2023-07-01 08:53:00
238,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 08:53:58,2023-07-01 08:55:52
238,Reservar Vaga,Totem 3,2023-07-01 08:56:48,2023-07-01 08:59:54
238,Adicionar Créditos,Totem 4,2023-07-01 09:00:37,2023-07-01 09:01:16
238,Solicitar Ticket,Cancela 4,2023-07-01 09:02:05,2023-07-01 09:02:11
238,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 09:02:42,2023-07-01 09:07:58
238,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 09:08:00,2023-07-01 09:08:03
238,Solicitar Ticket,Cancela 4,2023-07-01 09:08:38,2023-07-01 09:08:51
238,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 09:09:01,2023-07-01 09:09:03
238,Impressão do Ticket,Cancela 3,2023-07-01 09:09:18,2023-07-01 09:09:30
238,Solicitar Ticket,Cancela 4,2023-07-01 10:26:30,2023-07-01 10:26:48
238,Cancelar Reserva,Totem 4,2023-07-01 10:27:35,2023-07-01 10:28:52
238,Solicitar Ticket,Cancela 2,2023-07-01 10:29:33,2023-07-01 10:29:51
238,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 10:30:36,2023-07-01 10:30:39
238,Solicitar Ticket,Cancela 2,2023-07-01 10:31:10,2023-07-01 10:31:22
238,Reservar Vaga,Totem 4,2023-07-01 10:31:48,2023-07-01 10:34:06
238,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 10:34:39,2023-07-01 10:34:43
238,Validar Ticket,Caixa 1,2023-07-01 10:34:58,2023-07-01 10:35:10
238,Solicitar Ticket,Cancela 1,2023-07-01 10:35:42,2023-07-01 10:35:54
238,Impressão do Ticket,Cancela 2,2023-07-01 10:36:13,2023-07-01 10:36:20
238,Saída do Estacionamento,Caixa 3,2023-07-01 12:22:20,2023-07-01 12:22:20
239,Entrada no Estacionamento,Cancela 1,2023-07-01 11:25:00,2023-07-01 11:25:00
239,Reservar Vaga,Totem 3,2023-07-01 11:25:24,2023-07-01 11:29:05
239,Solicitar Ticket,Cancela 3,2023-07-01 11:29:56,2023-07-01 11:30:15
239,Cancelar Reserva,Totem 1,2023-07-01 11:30:21,2023-07-01 11:30:57
239,Solicitar Ticket,Cancela 3,2023-07-01 11:31:53,2023-07-01 11:32:01
239,Impressão do Ticket,Cancela 4,2023-07-01 11:32:35,2023-07-01 11:32:48
239,Validar Ticket,Caixa 1,2023-07-01 12:22:48,2023-07-01 12:22:52
239,Solicitar Ticket,Cancela 5,2023-07-01 12:23:18,2023-07-01 12:23:34
239,Validar Ticket,Caixa 1,2023-07-01 12:24:03,2023-07-01 12:24:14
239,Pagar Estacionamento,Caixa 4,2023-07-01 12:24:19,2023-07-01 12:25:28
239,Cancelar Reserva,Totem 2,2023-07-01 12:26:19,2023-07-01 12:26:59
239,Impressão do Ticket,Cancela 3,2023-07-01 12:27:30,2023-07-01 12:27:40
239,Saída do Estacionamento,Caixa 1,2023-07-01 15:40:40,2023-07-01 15:40:40
240,Entrada no Estacionamento,Cancela 3,2023-07-01 07:51:00,2023-07-01 07:51:00
240,Scan Sem Parar,Cancela 1,2023-07-01 07:51:12,2023-07-01 07:51:16
240,Solicitar Ticket,Cancela 2,2023-07-01 08:12:16,2023-07-01 08:12:29
240,Saída do Estacionamento,Caixa 2,2023-07-01 08:12:33,2023-07-01 08:12:33
241,Entrada no Estacionamento,Cancela 3,2023-07-01 11:17:00,2023-07-01 11:17:00
241,Adicionar Créditos,Totem 1,2023-07-01 11:17:30,2023-07-01 11:18:39
